DATE,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2016-06-01,-0.001715661,-0.025375767,0.042307126,0.001225565,-0.043850597,-0.059463906,-0.018348581,0.006000178,0.03085367,0.022165494,0.052907168
2016-07-01,0.041861549,0.074362244,0.05836617,0.037940767,0.061146425,0.055308236,0.05459861,-0.000453594,0.002551374,0.002287505,0.045909702
2016-08-01,0.001197455,0.010500671,0.007829143,0.002773428,0.005341082,0.006835122,0.006997578,-0.002348525,-0.010112565,-0.002981512,-0.033489369
2016-09-01,-0.004968245,0.019580962,0.008036201,0.015013643,0.013367588,0.002468867,0.001737578,0.001304961,0.002384972,0.007852548,-0.023019576
2016-10-01,-0.012373219,-0.012103299,0.015301687,-0.013234712,-0.022154678,-0.030083346,-0.011072724,-0.000470407,-0.014901145,-0.001812251,-0.041536628
2016-11-01,0.036838434,0.004359285,-0.040530057,0.02603578,-0.017813814,-0.023399091,0.009847579,-0.004723666,-0.04232886,-0.020714821,-0.023355781
2016-12-01,0.014293241,0.008340485,-0.012147825,0.005382401,0.016552293,0.044217198,0.024846287,8.63588E-06,-0.002784742,-0.002556171,0.027922258
2017-01-01,0.023894312,0.0545103,0.062676084,0.049775248,0.043591342,0.034546629,0.024942517,0.002383193,0.005208728,0.011099181,0.01534406
2017-02-01,0.039291703,0.043750472,0.022462636,-0.018027854,0.011906854,0.005875256,0.032536202,-0.000236346,0.005711674,0.004116328,0.043743806
2017-03-01,-0.003087239,0.018150983,0.026622191,0.007118705,0.032316861,0.038670652,0.01805938,0.000603499,0.000946877,0,-0.023877692
2017-04-01,0.014319968,0.029406712,0.017416849,-0.023065561,0.024241357,0.044610067,0.014803108,0.001823375,0.010952789,0.00314004,0.015235923
2017-05-01,0.014112815,0.038973636,0.009915972,-0.003807925,0.035423167,0.049085389,0.030379766,0.00068676,0.008272418,-0.00151931,-0.001140533
2017-06-01,0.001490988,-0.025833411,0.002209033,0.022935686,-0.013018449,-0.019035615,-0.014508057,-0.000804551,-0.005122187,-0.008451587,0.011796022
2017-07-01,0.025531168,0.043447961,0.060008693,0.051086943,0.043152932,0.042862645,0.035522959,0.001823042,0.00378495,0.004287023,0.020155624
2017-08-01,0.00291764,0.020735962,0.029993301,-0.001075199,-0.000448263,0.000705539,0.00593429,0.001976962,0.01452217,0.0110489,0.006694846
2017-09-01,0.015111703,-0.005130143,-0.016478686,0.038392466,0.02361736,0.028022562,0.020589945,-0.001878372,-0.014368906,-0.007177895,-0.016256132
2017-10-01,0.028643744,0.048353694,0.036334267,-0.00518309,0.016793191,0.008616306,0.032188459,-0.000926747,-0.001885673,0.004013121,0.009049403
2017-11-01,0.030565879,0.019717469,-0.003360891,0.005210094,0.006893789,-0.000511941,0.016471035,-0.002221771,-0.002844665,-0.000632095,0.025650645
2017-12-01,0.006980819,0.003931733,0.032149274,0.024187969,0.002852548,0.009902916,0.000432119,-0.00133693,0.000315412,0.005444313,-0.011711528
2018-01-01,0.061758623,0.089844979,0.090760325,0.021003986,0.061344327,0.061946234,0.060172917,-0.000804783,-0.018487142,-0.002736337,-0.019960653
2018-02-01,-0.036360351,-0.012927846,-0.053571461,-0.069946352,-0.048347728,-0.061459656,-0.042321414,-0.002033276,-0.010938767,-0.010520833,-0.066573203
2018-03-01,-0.031290324,-0.042341992,-0.004028018,-0.008276471,-0.008396408,-0.008356035,-0.02113053,0.002469433,0.011628432,0.010284014,0.029183035
2018-04-01,0.009193979,0.006688777,-0.0257811,0.020682214,0.015212581,0.026484994,0.010409677,-0.002442559,-0.012903345,-0.003892236,0.010565134
2018-05-01,0.024309254,0.056729111,-0.023423726,0.021685138,-0.018942509,-0.024242474,0.007265955,0.003410802,0.009676606,0.001432501,0.033712402
2018-06-01,0.00125491,0.00929034,-0.054023764,-0.00800282,-0.035014417,-0.031573421,-0.01270452,0.000158508,0.001881778,0.0079333,0.030566493
2018-07-01,0.041703022,0.030164055,0.046547139,0.032578288,0.048955807,0.054516887,0.056864693,-0.000650009,-0.005160643,-0.006156561,0.018126273
2018-08-01,0.031919919,0.057806883,-0.041932401,-0.014036223,-0.022357772,-0.028256572,0.016948895,0.003367363,0.010026715,0.006076973,0.023753784
2018-09-01,0.001412295,-0.004607647,-0.024738428,-0.000694417,0.009652684,-0.003191453,0.004321203,-0.001343264,-0.012092478,-0.008967505,-0.037989725
2018-10-01,-0.064890344,-0.0843123,-0.065904304,-0.078874283,-0.081335626,-0.075401379,-0.058184818,0.001454023,-0.003039435,-0.012690964,-0.014274417
2018-11-01,0.018549278,-0.002649823,0.048336082,0.00490377,0.004963353,-0.006759314,0.006308277,0.003701162,0.013169295,0.004868116,0.046985098
2018-12-01,-0.093342853,-0.089213075,-0.040060466,-0.100600531,-0.063565492,-0.054637255,-0.083441242,0.006212572,0.025978649,0.003035161,-0.083639169
2019-01-01,0.086372746,0.093226555,0.104139279,0.147849498,0.077813715,0.073821178,0.074822209,0.005659507,0.010719609,0.017399731,0.121347416
2019-02-01,0.032415407,0.029911938,-0.003829532,0.029574869,0.025366878,0.031617491,0.028811957,-0.000954371,-0.007341439,-0.001710771,0.007301956
2019-03-01,0.013636001,0.037357722,0.021143737,-0.007540439,0.00918013,0.001868826,0.024342994,0.006242488,0.026742941,0.019751298,0.034343333
2019-04-01,0.045437117,0.056912838,0.023417058,0.032923325,0.029293775,0.04513614,0.039958024,0.001722992,-0.005317169,0.002210896,0.006658148
2019-05-01,-0.063771079,-0.082251772,-0.063810244,-0.042732003,-0.050329484,-0.056722191,-0.061678408,0.007313899,0.030529139,0.017207878,-0.00149413
2019-06-01,0.064409384,0.073526836,0.04650597,0.047200892,0.036750868,0.044719329,0.052586053,0.004464853,0.012218132,0.002218219,0.005065098
2019-07-01,0.020056823,0.025610734,-0.011337725,0.001001897,0.001678961,-0.00849864,0.017130578,-0.000479258,0.00059357,0.003397682,0.031693002
2019-08-01,-0.016743666,-0.018995416,-0.032566883,-0.007044655,-0.01923974,-0.016457897,-0.021220162,0.007885111,0.039494991,0.026351679,0.034343839
2019-09-01,0.014771932,0.007147851,-0.003465505,0.0251862,0.03164061,0.01939524,0.030852645,-0.00128468,-0.011762654,-0.0092384,0.011680889
2019-10-01,0.026824751,0.045905523,0.052609882,-0.004152203,0.033890376,0.044645768,0.029726868,0.003254328,0.002025519,-0.001477208,0.014888324
2019-11-01,0.036198094,0.040694108,0.005018155,0.029534377,0.011272883,0.012933331,0.027887007,-0.000528432,-0.006844768,0.004450219,-0.011245622
2019-12-01,0.024020841,0.036616264,0.057299032,0.008774859,0.018480305,0.039191301,0.030569346,-3.29073E-06,-0.010622544,0.001805125,-0.001287267
2020-01-01,0.004510831,0.032618272,-0.043354864,0.005994131,-0.017278352,-0.025348048,0.01198601,0.009015363,0.037610623,0.02323095,0.026041475
2020-02-01,-0.079165742,-0.060574245,-0.035467659,-0.070104453,-0.077652722,-0.079591375,-0.085334295,0.00716653,0.028235514,0.008147189,-0.075816834
2020-03-01,-0.129987341,-0.074829951,-0.172013896,-0.208046342,-0.141066832,-0.171991695,-0.098142254,0.012570449,0.037380431,-0.01652984,-0.204004601
2020-04-01,0.133610652,0.152187542,0.080105504,0.111212691,0.058174334,0.071485528,0.11083751,0.002962356,0.002761217,0.028748193,0.103691077
